time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T05:23:23.550Z,19.491,-154.8763333,1.15,2.39,ml,6,117,0.0157,0.06,hv,hv70138972,2018-05-10T06:51:08.700Z,"4km ENE of Leilani Estates, Hawaii",earthquake,0.42,0.26,0.064,5,reviewed,hv,hv
2018-05-10T05:21:17.200Z,19.3129997,-155.2196655,2.37,2.82,ml,9,104,0.03195,0.19,hv,hv70138967,2018-05-10T05:26:55.460Z,"13km S of Volcano, Hawaii",earthquake,0.81,1.44,0.54,4,automatic,hv,hv
2018-05-10T05:15:47.600Z,19.3758335,-155.014328,1.48,2.48,ml,35,203,0.05823,0.32,hv,hv70138952,2018-05-10T05:21:20.290Z,"14km SW of Leilani Estates, Hawaii",earthquake,1.04,0.8,3.97,9,automatic,hv,hv
2018-05-10T05:14:49.330Z,38.8013344,-122.8026657,2.75,0.7,md,8,110,0.008773,0.05,nc,nc73014426,2018-05-10T05:39:02.815Z,"5km WNW of The Geysers, CA",earthquake,0.69,2.09,0.16,4,automatic,nc,nc
2018-05-10T05:12:59.080Z,36.5600014,-121.117836,1.48,1.81,md,9,144,0.06003,0.1,nc,nc73014421,2018-05-10T05:28:01.752Z,"4km NE of Pinnacles, CA",earthquake,0.48,1.27,0.03,7,automatic,nc,nc
2018-05-10T05:12:47.990Z,19.4703331,-154.8704987,-0.13,2.68,ml,13,152,0.01971,0.37,hv,hv70138942,2018-05-10T05:18:24.940Z,"4km E of Leilani Estates, Hawaii",earthquake,0.52,0.44,3.92,4,automatic,hv,hv
2018-05-10T05:08:51.710Z,19.3975,-155.2716667,0.18,3.01,ml,21,76,0.002825,0.09,hv,hv70138927,2018-05-10T05:38:40.610Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.191,11,reviewed,hv,hv
2018-05-10T05:03:53.380Z,27.932,128.228,10,4.3,mb,,86,1.092,0.79,us,us1000e1sg,2018-05-10T05:51:59.040Z,"132km WSW of Naze, Japan",earthquake,7.2,1.9,0.096,31,reviewed,us,us
2018-05-10T05:01:13.450Z,19.484333,-154.8858337,2.43,2.54,ml,8,113,0.004776,0.15,hv,hv70138887,2018-05-10T05:06:51.290Z,"3km ENE of Leilani Estates, Hawaii",earthquake,0.94,0.31,0.18,3,automatic,hv,hv
2018-05-10T04:59:51.990Z,19.4864998,-154.8690033,-0.02,2.36,ml,7,128,0.01946,0.29,hv,hv70138877,2018-05-10T05:05:26.980Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.55,0.46,0.24,3,automatic,hv,hv
